Jenson Button,10,5,6,10,10,10,10,3,4,2,2,0,8,4,1,4,6
Sebastian Vettel,0,0,10,8,5,0,6,10,8,0,0,6,1,5,10,5,10
Rubens Barrichello,8,2,5,4,8,8,0,6,3,0,10,2,10,3,2,1,5
Mark Webber,0,1.5,8,0,6,4,8,8,10,6,0,0,0,0,0,10,8
Lewis Hamilton,0,1,3,5,0,0,0,0,0,10,8,0,0,10,6,6,0
Kimi Räikkönen,0,0,0,3,0,6,0,1,0,8,6,10,6,0,5,3,0
Nico Rosberg,3,0.5,0,0,1,3,4,4,5,5,4,1,0,0,4,0,0
Jarno Trulli,6,2.5,0,6,0,0,5,2,0,1,0,0,0,0,8,0,2
Fernulldo Alonso,4,0,0,1,4,2,0,0,2,0,3,0,4,6,0,0,0
Timo Glock,5,3,2,2,0,0,1,0,0,3,0,0,0,8,null,null,null
Felipe Massa,0,0,0,0,3,5,3,5,6,null,null,null,null,null,null,null,null
Heikki Kovalainen,0,0,4,0,0,0,0,0,1,4,5,3,3,2,0,0,0
Nick Heidfeld,0,4,0,0,2,0,0,0,0,0,0,4,2,0,3,0,4
Robert Kubica,0,0,0,0,0,0,2,0,0,0,1,5,0,1,0,8,0
Giancarlo Fisichella,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Sébastien Buemi,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Adrian Sutil,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Kamui Kobayashi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,3
Sébastien Bourdais,1,0,0,0,0,1,0,0,0,null,null,null,null,null,null,null,null
Kazuki Nakajima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Piquet Jr.,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null
Vitantonio Liuzzi,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0
Romain Grosjean,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0
Jaime Alguersuari,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0
Luca Badoer,null,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null
