Estadio Mineirao, Belo Horizonte;2014-06-14 12:00:00;C1;C2;C;5
Estadio Mineirao, Belo Horizonte;2014-06-17 12:00:00;H1;H2;H;15
Estadio Mineirao, Belo Horizonte;2014-06-21 12:00:00;F1;F3;F;27
Estadio Mineirao, Belo Horizonte;2014-06-24 12:00:00;D2;D3;D;40
Estadio Mineirao, Belo Horizonte;2014-06-28 12:00:00;1A;2B;;49
Estadio Mineirao, Belo Horizonte;2014-07-08 12:00:00;W57;W58;;61
Estadio Nacional, Brasilia;2014-06-15 12:00:00;E1;E2;E;9
Estadio Nacional, Brasilia;2014-06-19 12:00:00;C1;C3;C;21
Estadio Nacional, Brasilia;2014-06-23 12:00:00;A1;A4;A;33
Estadio Nacional, Brasilia;2014-06-26 12:00:00;G2;G3;G;46
Estadio Nacional, Brasilia;2014-06-30 12:00:00;1E;2F;;53
Estadio Nacional, Brasilia;2014-07-05 12:00:00;W55;W56;;60
Estadio Nacional, Brasilia;2014-07-12 12:00:00;L61;L62;;63
Arena Pantanal, Cuiaba;2014-06-13 12:00:00;B3;B4;B;4
Arena Pantanal, Cuiaba;2014-06-17 12:00:00;H3;H4;H;16
Arena Pantanal, Cuiaba;2014-06-21 12:00:00;F2;F4;F;28
Arena Pantanal, Cuiaba;2014-06-24 12:00:00;C1;C4;C;37
Arena de Baixada, Curitiba;2014-06-16 12:00:00;F3;F4;F;12
Arena de Baixada, Curitiba;2014-06-20 12:00:00;E2;E4;E;26
Arena de Baixada, Curitiba;2014-06-23 12:00:00;B1;B4;B;35
Arena de Baixada, Curitiba;2014-06-26 12:00:00;H2;H3;H;48
Estadio Castelao, Fortaleza;2014-06-14 12:00:00;D1;D2;D;7
Estadio Castelao, Fortaleza;2014-06-17 12:00:00;A1;A3;A;17
Estadio Castelao, Fortaleza;2014-06-21 12:00:00;G1;G3;G;29
Estadio Castelao, Fortaleza;2014-06-24 12:00:00;C2;C3;C;38
Estadio Castelao, Fortaleza;2014-06-29 12:00:00;1B;2A;;51
Estadio Castelao, Fortaleza;2014-07-04 12:00:00;W49;W50;;57
Arena Amazonia, Manaus;2014-06-14 12:00:00;D3;D4;D;8
Arena Amazonia, Manaus;2014-06-18 12:00:00;A2;A4;A;18
Arena Amazonia, Manaus;2014-06-22 12:00:00;G2;G4;G;30
Arena Amazonia, Manaus;2014-06-25 12:00:00;E1;E4;E41
Estadio das Dunas, Natal;2014-06-13 12:00:00;A3;A4;A;2
Estadio das Dunas, Natal;2014-06-16 12:00:00;G3;G4;G;14
Estadio das Dunas, Natal;2014-06-19 12:00:00;C2;C4;C;22
Estadio das Dunas, Natal;2014-06-24 12:00:00;D1;D4;D;39
Estadio Beira-Rio, Porto Alegre;2014-06-15 12:00:00;E3;E4;E;10
Estadio Beira-Rio, Porto Alegre;2014-06-18 12:00:00;B2;B4;B;20
Estadio Beira-Rio, Porto Alegre;2014-06-22 12:00:00;H2;H4;H;32
Estadio Beira-Rio, Porto Alegre;2014-06-25 12:00:00;F1;F4;F;43
Estadio Beira-Rio, Porto Alegre;2014-06-30 12:00:00;1G;2H;;54
Arena Pernambuco, Recife;2014-06-14 12:00:00;C3;C4;C;6
Arena Pernambuco, Recife;2014-06-20 12:00:00;D2;D4;D;24
Arena Pernambuco, Recife;2014-06-23 12:00:00;A2;A3;A;34
Arena Pernambuco, Recife;2014-06-26 12:00:00;G1;G4;G;45
Arena Pernambuco, Recife;2014-06-29 12:00:00;1D;2C;;52
Estadio do Maracana, Rio de Janeiro;2014-06-15 12:00:00;F1;F2;F;11
Estadio do Maracana, Rio de Janeiro;2014-06-18 12:00:00;B1;B3;B;19
Estadio do Maracana, Rio de Janeiro;2014-06-22 12:00:00;H1;H3;H;31
Estadio do Maracana, Rio de Janeiro;2014-06-25 12:00:00;E2;E3;E;42
Estadio do Maracana, Rio de Janeiro;2014-06-28 12:00:00;1C;2D;;50
Estadio do Maracana, Rio de Janeiro;2014-07-04 12:00:00;W53;W54;;58
Estadio do Maracana, Rio de Janeiro;2014-07-13 12:00:00;W61;W62;;64
Arena Fonte Nova, Salvador;2014-06-13 12:00:00;B1;B2;B;3
Arena Fonte Nova, Salvador;2014-06-16 12:00:00;G1;G2;G;13
Arena Fonte Nova, Salvador;2014-06-20 12:00:00;E1;E3;E;25
Arena Fonte Nova, Salvador;2014-06-25 12:00:00;F2;F3;F;44
Arena Fonte Nova, Salvador;2014-07-01 12:00:00;1H;2G;;56
Arena Fonte Nova, Salvador;2014-07-05 12:00:00;W51;W52;;59
Arena de Sao Paulo, Sao Paulo;2014-06-12 12:00:00;A1;A2;A;1
Arena de Sao Paulo, Sao Paulo;2014-06-19 12:00:00;D1;D3;D;23
Arena de Sao Paulo, Sao Paulo;2014-06-23 12:00:00;B2;B3;B;36
Arena de Sao Paulo, Sao Paulo;2014-06-26 12:00:00;H1;H4;H;47
Arena de Sao Paulo, Sao Paulo;2014-07-01 12:00:00;1F;2E;;55
Arena de Sao Paulo, Sao Paulo;2014-07-09 12:00:00;W59;W60;;62
