Beverages,Chai,18,39
Beverages,Chang,19,17
Beverages,Sasquatch Ale,14,111
Beverages,Steeleye Stout,18,20
Beverages,Cote de Blaye,264,17
Beverages,Chartreuse verte,18,69
Beverages,Ipoh Coffee,46,17
Beverages,Laughing Lumberjack Lager,14,52
Beverages,Outback Lager,15,15
Beverages,Rhonbrau Klosterbier,8,125
Beverages,Lakkalikoori,18,57
Condiments,Aniseed Syrup,10,19
Condiments,Chef Anton's Cajun Seasoning,22,53
Condiments,Chef Anton's Gumbo Mix,21,0
Condiments,Grandma's Boysenberry Spread,25,120
Condiments,Northwoods Cranberry Sauce,40,6
Condiments,Genen Shouyu,16,39
Condiments,Gula Malacca,19,27
Condiments,Sirop d'erable,29,113
Condiments,Vegie-spread,44,24
Condiments,Louisiana Fiery Hot Pepper Sauce,21,76
Condiments,Original Frankfurter grune Sosse,13,32
Confections,Pavlova,17,29
Confections,Teatime Chocolate Biscuits,9,25
Confections,Sir Rodney's Marmalade,81,40
Confections,NuNuCa Nuss-Nougat-Creme,14,76
Confections,Gumbar Gummibarchen,31,15
Confections,Schoggi Schokolade,44,49
Confections,Zaanse koeken,10,36
Confections,Chocolade,13,15
Confections,Maxilaku,20,10
Confections,Valkoinen suklaa,16,65
Confections,Tarte au sucre,49,17
Dairy Products,Queso Cabrales,21,22
Dairy Products,Queso Manchego La Pastora,38,86
Dairy Products,Gorgonzola Telino,13,0
Dairy Products,Mascarpone Fabioli,32,9
Dairy Products,Geitost,3,112
Dairy Products,Raclette Courdavault,55,79
Dairy Products,Camembert Pierrot,34,19
Dairy Products,Gudbrandsdalsost,36,26
Dairy Products,Flotemysost,22,26
Dairy Products,Mozzarella di Giovanni,35,14
Grains/Cereals,Gustaf's Knackebrod,20,104
Grains/Cereals,Tunnbrod,9,61
Grains/Cereals,Singaporean Hokkien Fried Mee,14,26
Grains/Cereals,Filo Mix,7,38
Grains/Cereals,Gnocchi di nonna Alice,38,21
Grains/Cereals,Ravioli Angelo,20,36
Grains/Cereals,Wimmers gute Semmelknodel,33,22
Meat/Poultry,Mishi Kobe Niku,97,29
Meat/Poultry,Alice Mutton,39,0
Meat/Poultry,Thuringer Rostbratwurst,124,0
Meat/Poultry,Perth Pasties,33,0
Meat/Poultry,Pate chinois,24,121
Produce,Uncle Bob's Organic Dried Pears,30,15
Produce,Tofu,23,35
Produce,Rossle Sauerkraut,46,26
Produce,Manjimup Dried Apples,53,20
Seafood,Ikura,31,31
Seafood,Konbu,8,24
Seafood,Carnarvon Tigers,63,42
Seafood,Nord-Ost Matjeshering,26,10
Seafood,Inlagd Sill,19,112
Seafood,Gravad lax,26,11
Seafood,Boston Crab Meat,18,123
Seafood,Jack's New England Clam Chowder,10,85
Seafood,Spegesild,12,95
Seafood,Escargots de Bourgogne,13,62
Seafood,Rod Kaviar,15,101
